dbn,name,primary_address,city,zip,latitude,longitude
07X520,Foreign Language Academy of Global Studies,470 JACKSON AVENUE,BRONX,10455,40.811046,-73.909376
07X522,Bronx Design and Construction Academy,333 EAST 151 STREET,BRONX,10451,40.8185183,-73.9199681
07X527,Bronx Leadership Academy II High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,40.8225762,-73.9236546
07X547,New Explorers High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,40.8225762,-73.9236546
07X548,Urban Assembly School for Careers in Sports,730 CONCOURSE VILLAGE WEST,BRONX,10451,40.8225762,-73.9236546
07X551,The Urban Assembly Bronx Academy of Letters,339 MORRIS AVENUE,BRONX,10451,40.81366,-73.925999
07X557,Mott Haven Community High School,455 SOUTHERN BLVD,BRONX,10455,40.8104623,-73.906773
07X600,Alfred E. Smith Career and Technical Education High School,333 EAST 151 STREET,BRONX,10451,40.8185183,-73.9199681
07X655,Samuel Gompers Career and Technical Education High School,455 SOUTHERN BLVD,BRONX,10455,40.8104623,-73.906773
07X670,Health Opportunities High School,350 GERARD AVENUE,BRONX,10451,40.8159162,-73.9304084
08X014,P.S. X014 Senator John Calandra,3041 BRUCKNER BOULEVARD,BRONX,10461,40.8355756,-73.8254128
08X036,P.S. 036 Unionport,1070 CASTLE HILL AVENUE,BRONX,10472,40.829446,-73.849749
08X048,P.S. 048 Joseph R. Drake,1290 SPOFFORD AVENUE,BRONX,10474,40.8143895,-73.8868743
08X062,P.S. 062 Inocensio Casanova,660 FOX STREET,BRONX,10455,40.8141023,-73.9003091
08X069,P.S. 069 Journey Prep School,560 THIERIOT AVENUE,BRONX,10473,40.816543,-73.8608739
08X071,P.S. 071 Rose E. Scala,3040 ROBERTS AVENUE,BRONX,10461,40.845859,-73.8296216
08X072,P.S. 072 Dr. William Dorney,2951 DEWEY AVENUE,BRONX,10465,40.823208,-73.8181819
08X075,P.S. 75 School of Research and Discovery,984 FAILE STREET,BRONX,10459,40.82229,-73.88896
08X093,P.S. 093 Albert G. Oliver,1535 STORY AVENUE,BRONX,10473,40.822513,-73.877255
08X100,P.S. 100 Isaac Clason,800 TAYLOR AVENUE,BRONX,10473,40.8214423,-73.8629831
08X101,M.S. X101 Edward R. Byrne,2750 LAFAYETTE AVENUE,BRONX,10465,40.826939,-73.8307088
08X107,P.S. 107,1695 SEWARD AVENUE,BRONX,10473,40.81848,-73.8683212
08X119,P.S. 119,1075 PUGSLEY AVENUE,BRONX,10472,40.8284926,-73.856571
08X123,J.H.S. 123 James M. Kieran,1025 MORRISON AVENUE,BRONX,10472,40.8248835,-73.873517
08X125,J.H.S. 125 Henry Hudson,1111 PUGSLEY AVENUE,BRONX,10472,40.8294144,-73.8567829
08X130,P.S. 130 Abram Stevens Hewitt,750 PROSPECT AVENUE,BRONX,10455,40.8176053,-73.9021834
08X131,J.H.S. 131 Albert Einstein,885 BOLTON AVENUE,BRONX,10473,40.8237477,-73.8597342
08X138,P.S. 138 Samuel Randall,2060 LAFAYETTE AVENUE,BRONX,10473,40.8225942,-73.8526687
08X140,P.S. X140 The Eagle School,916 EAGLE AVENUE,BRONX,10456,40.8234813,-73.907631
08X146,P.S. 146 Edward Collins,968 CAULDWELL AVENUE,BRONX,10456,40.8248223,-73.9062021
08X152,P.S. 152 Evergreen,1007 EVERGREEN AVENUE,BRONX,10472,40.823907,-73.880465
08X182,P.S. 182,601 STICKBALL BOULEVARD,BRONX,10473,40.818892,-73.856982
08X269,Bronx Studio School for Writers and Artists,928 SIMPSON STREET,BRONX,10459,40.8199186,-73.8937549
08X282,Women's Academy of Excellence,456 WHITE PLAINS ROAD,BRONX,10473,40.8150049,-73.8563115
08X293,Renaissance High School for Musical Theater & Technology,3000 EAST TREMONT AVENUE,BRONX,10461,40.839987,-73.837977
08X295,Gateway School for Environmental Research and Technology,1980 LAFAYETTE AVENUE,BRONX,10473,40.8213444,-73.8556733
08X301,M.S. 301 Paul L. Dunbar,890 CAULDWELL AVENUE,BRONX,10456,40.8225924,-73.9064256
08X302,M.S. 302 Luisa Dessus Cruz,681 KELLY STREET,BRONX,10455,40.8156753,-73.9016604
08X304,P.S. 304 Early Childhood School,2750 LAFAYETTE AVENUE,BRONX,10465,40.826939,-73.8307088
08X305,Pablo Neruda Academy,1980 LAFAYETTE AVENUE,BRONX,10473,40.8213444,-73.8556733
08X312,Millennium Art Academy,1980 LAFAYETTE AVENUE,BRONX,10473,40.8213444,-73.8556733
08X320,Pelham Lab High School,3000 EAST TREMONT AVENUE,BRONX,10461,40.839987,-73.837977
08X332,Holcombe L. Rucker School of Community Research,965 LONGWOOD AVENUE,BRONX,10459,40.8176061,-73.8980989
08X333,P.S. 333 - The Museum School,888 REV J A POLITE AVE,BRONX,10459,40.8220376,-73.8989043
08X335,The Academy of the Arts,888 REV J A POLITE AVE,BRONX,10459,40.8220376,-73.8989043
08X337,The School for Inquiry and Social Justice,1025 MORRISON AVENUE,BRONX,10472,40.8248835,-73.873517
08X348,Schuylerville Preparatory High School,3000 EAST TREMONT AVENUE,BRONX,10461,40.839987,-73.837977
08X349,Bronx River High School,3000 EAST TREMONT AVENUE,BRONX,10461,40.839987,-73.837977
08X366,Urban Assembly Academy of Civic Engagement,650 HOLLYWOOD AVENUE,BRONX,10465,40.826777,-73.8180749
08X367,"Archimedes Academy for Math, Science and Technology Applications",456 WHITE PLAINS ROAD,BRONX,10473,40.8150049,-73.8563115
08X371,Urban Institute of Mathematics,650 HOLLYWOOD AVENUE,BRONX,10465,40.826777,-73.8180749
08X375,The Bronx Mathematics Preparatory School,456 WHITE PLAINS ROAD,BRONX,10473,40.8150049,-73.8563115
08X376,Antonia Pantoja Preparatory Academy: A College Board School,1980 LAFAYETTE AVENUE,BRONX,10473,40.8213444,-73.8556733
08X377,Bronx Community High School,1980 LAFAYETTE AVENUE,BRONX,10473,40.8213444,-73.8556733
08X405,Herbert H. Lehman High School.,3000 EAST TREMONT AVENUE,BRONX,10461,40.839987,-73.837977
08X424,The Hunts Point School,730 BRYANT AVENUE,BRONX,10474,40.8155695,-73.8855307
